username,likes,comments,text,hashtags,date,time,day_of_week,hour
editorasextante,182,5,"PRÉ-VENDA!  Com mais de 2 milhões de exemplares vendidos do seu best-seller “Acolhendo sua criança interior”, Stefanie Stahl mergulha fundo no significado da autoestima, explorando suas raízes e os caminhos para cultivar o amor-próprio genuíno em seu novo livro. “Como fortalecer sua autoestima” é um convite para curar feridas antigas e construir uma autoestima sólida, com reflexões profundas e exercícios práticos.  Pré-venda já disponível no link da bio @editorasextante","['aceitação', 'autoestima', 'autossabotagem', 'crençaslimitantes', 'empoderamento', 'amorpróprio']",2024-04-25,14:54:33,quinta,14
editorasextante,420,15,"Pré-venda disponível!  Sophie Deram (@sophiederam.br) está prestes a derrubar os mitos e revelar as descobertas mais recentes sobre nutrição, saúde e longevidade!  No seu novo livro ""Pare de engolir mitos"", ela desmistifica os mitos mais comuns sobre alimentação e te ensina a tomar decisões conscientes sobre o que você come, com base em evidências científicas. Chega de dietas restritivas e culpa! Aprenda a comer de forma prazerosa e saudável com Sophie Deram.  Garanta o seu exemplar na pré-venda pelo link da bio do @editorasextante!","['sophiederam', 'saúde', 'alimentação', 'paredeengolirmitos', 'opesodasdietas', 'mitos', 'compulsãoalimentar', 'restriçãoalimentar']",2024-04-20,12:00:25,sábado,12
editorasextante,123,0,"O livro “Meditações” oferece insights e orientações práticas sobre vários aspectos da vida, desde como lidar com as adversidades até a melhor forma de interagir com os outros.  Nesta versão, originalmente traduzida do grego para o inglês por Gregory Hays - a primeira em décadas -, os pensamentos de Marco Aurélio falam com o novo imediatismo: nunca antes suas percepções foram apresentadas de forma tão direta e impactante. • Disponível nos formatos de livro físico, ebook e audiolivro. ","['meditações', 'marcoaurélio', 'filosofia', 'reflexões', 'insight']",2024-04-26,15:49:50,sexta,15
editorasextante,1396,7," Se você não consegue parar de ouvir ""The Tortured Poets Department"", vai adorar mergulhar nestes dois livros inspirados na vida e arte dessa talentosa artista.  Taylor Swift, de Wendy Loggia. Neste livro ilustrado, você vai conhecer a trajetória da menina que ousou seguir seus sonhos e se tornou uma das maiores estrelas da música pop.  A turnê do coração partido, de Austin Siegemund-Broka e Emily Wibberley. Riley Wynn virou uma superestrela da noite para o dia graças ao seu álbum com músicas de término e um single inesquecível. Quando seu ex-marido declara que a música de maior sucesso é sobre ele, Riley entra em contato com Max Harcourt, seu namorado da faculdade e a verdadeira inspiração para a canção do momento. Riley quer revelar ao público que Max é o verdadeiro muso. Ele aceita, mas com uma condição: fazer parte da banda na turnê da cantora.","['aturnedocoraçãopartido', 'thebreakuptour', 'austinsiegemundbroka', 'emilywibberley', 'romcombooks', 'romcom', 'wendyloggia', 'livroilustrado', 'biografiailustrada', 'comédiaromântica', 'taylorswift', 'midnights', 'evermore', 'folklore', 'love', 'reputation', 'red', 'speaknow', 'fearless', 'debut', 'thetorturedpoetsdepartment']",2024-04-24,15:15:17,quarta,15
editorasextante,1362,10,"Todos nós temos uma verdadeira indústria química dentro do cérebro, capaz de produzir substâncias específicas para gerar a sensação que desejamos.   Em “Seis substâncias para viver bem” você vai aprender a ativar esses hormônios de maneira natural, alcançando o bem-estar físico e mental que deseja.  Aprenda técnicas poderosas para se tornar a melhor versão de si mesmo.","['hormônios', 'saúde', 'saúdemental', 'comportamentos', 'dopamina', 'davidjpphillips']",2024-04-24,13:00:27,quarta,13
editorasextante,276,17,"Como diria Bernardinho: “O que seria de uma vida sem livros?”  Em comemoração ao dia 23 de abril, Dia Mundial do Livro, unimos nossos autores para compartilhar mensagens especiais sobre o poder da leitura.  Confira as indicações de leitura dos nossos autores nos stories!","['diamundialdolivro', '23deabril', 'leitura', 'livros', 'autoresnacionais']",2024-04-23,12:32:55,terça,12
editorasextante,357,9,"Explore o Universo e desvende os mistérios da vida com a “Enciclopédia Britânica para curiosos”!  Desperte sua curiosidade e mergulhe em uma jornada épica pelo conhecimento com essa obra completa e fascinante do @manualdomundo.  No primeiro volume: * Viaje pelo cosmos e explore a formação da Terra; * Descubra os segredos da química e da física; * Desvende os mistérios da vida no nosso planeta; * Aprofunde-se em diversos temas com especialistas renomados. Imagens incríveis e linguagem acessível tornam a leitura leve e prazerosa, perfeita para todos os públicos.","['enciplopédia', 'manualdomundo', 'ciência', 'curiosidades']",2024-04-22,13:48:57,segunda,13
editorasextante,2862,18,"Quer transformar a sua rotina? Estes livros são essenciais para sua jornada.   A única coisa  Essencialismo  Mude seus horários, mude sua vida  Bons hábitos, maus hábitos","['disciplina', 'bookstagram', 'bookrecommendations', 'listadelivros', 'leitura', 'dicadelivro']",2024-04-19,12:18:01,sexta,12
editorasextante,1204,9,"Cansado de ideias que não saem do papel?  Este livro te mostra como a união entre Visionários (cheios de ideias inovadoras) e Integradores (que colocam tudo em prática) pode levar sua empresa ao topo!  Descubra: Características de cada tipo de líder Histórias reais de sucesso Faça o teste: você é Visionário ou Integrador? Dicas para uma relação harmoniosa entre os dois Como superar os desafios da dupla E você, se identifica como visionário ou integrador?","['empreendedorismo', 'dicadelivro', 'empresas', 'lideres']",2024-04-18,22:11:57,quinta,22
editorasextante,122,9,"Descubra o segredo por trás do best-seller do The New York Times e do The Wall Street Journal!  Com conselhos valiosos sobre finanças pessoais, este livro vai te ensinar a alcançar seus objetivos financeiros sem abrir mão do que você ama. Prepare-se para uma jornada de liberdade e sucesso com Ramit Sethi. ","['livros', 'finanças', 'sucesso', 'liberdadefinanceira', 'investimento', 'comoficarrico', 'ramitsethi']",2024-04-17,12:23:48,quarta,12
